id_plot,mon,slope,plab
41_08,May,0.860753890231146,P4  (LAI=5.7)
41_08,Jun,0.797040316415445,P4  (LAI=5.7)
41_08,Jul,0.779142578376077,P4  (LAI=5.7)
41_08,Aug,0.818441069729528,P4  (LAI=5.7)
41_08,Sep,0.796283768240402,P4  (LAI=5.7)
41_08,Oct,0.762680362288411,P4  (LAI=5.7)
41_15,May,0.99108973511814,P2  (LAI=3.4)
41_15,Jun,0.935800658083449,P2  (LAI=3.4)
41_15,Jul,0.908469023067045,P2  (LAI=3.4)
41_15,Aug,0.963016928390689,P2  (LAI=3.4)
41_15,Sep,0.902552089494105,P2  (LAI=3.4)
41_15,Oct,0.914218141826435,P2  (LAI=3.4)
41_19,Apr,1.18583336028065,P1  (LAI=0.5)
41_19,May,1.34461543608887,P1  (LAI=0.5)
41_19,Jun,1.40777583502535,P1  (LAI=0.5)
41_19,Jul,1.19618122770691,P1  (LAI=0.5)
41_19,Aug,1.39533808435508,P1  (LAI=0.5)
41_19,Sep,1.29291410253099,P1  (LAI=0.5)
41_19,Oct,1.35170454731998,P1  (LAI=0.5)
41_26,Apr,1.07362094908354,P3  (LAI=4.7)
41_26,May,0.901591249500481,P3  (LAI=4.7)
41_26,Jun,0.833432746819008,P3  (LAI=4.7)
41_26,Jul,0.796542682651589,P3  (LAI=4.7)
41_26,Aug,0.791502636664499,P3  (LAI=4.7)
41_26,Sep,0.777607561067954,P3  (LAI=4.7)
41_26,Oct,0.660061562161854,P3  (LAI=4.7)
