id_plot,obs_beta,obs_dTmaxS,obs_dTmaxH,mus_beta,mus_dTmaxS,mus_dTmaxH,LAI_ALS,Hmax,fCover,VCI,LCV,CHM_std,slope,aspect_sin,aspect_cos,northness,twi
41_01,0.891916860515774,-0.66412182016844,-1.24892675781252,0.943800373270881,0.093960010953868,0.22144435316669,3.0971018075943,23.4999923706055,0.997500002384186,0.518240988254547,0.0325744338333607,1.00881469249725,1.22302567958832,-0.333741217851639,-0.942664682865143,-1.15290307998657,4.53988647460938
41_02,0.927588670759983,-0.180498869348768,-0.5458498347356,0.958620165295343,0.142513896810472,0.371763022973242,3.4237956404686,16.5499954223633,1,0.502667151391506,0.0209977198392153,0.806751608848572,1.78229379653931,-0.694956779479981,-0.719051480293274,-1.28156113624573,3.47000360488892
41_03,0.822652379404303,-1.29784313164385,-1.75631137319714,0.927589659043054,-0.217968652822126,-0.14692221537835,4.73531460762024,34.3800048828125,1,0.555000200867653,0.0319053628481925,4.30711841583252,0.317080348730087,0.948673486709595,-0.316254585981369,-0.100275628268719,5.19682741165161
41_04,0.755191329271636,-2.3923759185291,-3.10615752704329,0.904016118616295,-0.521577428598873,-0.553311861478365,6.42419219017029,35.9200057983398,1,0.595846608281136,0.0303875361569226,1.14868068695068,0.554834544658661,-0.400139391422272,-0.916453659534454,-0.508480310440064,8.84192276000977
41_05,0.743741062196904,-2.21781854147992,-3.00046521935098,0.924861190556739,-0.262938168702744,-0.200519827739172,4.84867739677429,32.8300018310547,0.997500002384186,0.612656861543655,0.0378907406702638,2.32560276985168,1.5104855298996,0.929127812385559,-0.369757115840912,-0.558515906333923,3.63557434082031
41_06,0.913703950179148,-0.5277365742668,-0.972157527043292,0.974661853059272,0.420533539506849,0.80120809257559,2.37208813428879,14.4499969482422,1,0.467327699065208,0.0236886260099709,0.852467358112335,2.22994327545166,0.670916557312012,0.741532623767853,1.65357625484467,6.74225234985352
41_07,1.14439143652388,3.28339457327418,4.2621501652644,1.05265773089401,1.45357129276546,1.81150239025429,1.07197330892086,7.26000213623047,0.730001509189606,0.362002715468407,0.00937522202730179,1.72625195980072,4.87257957458496,-0.0762474462389946,-0.99708890914917,-4.85839509963989,4.40810060501099
41_08,0.799350583235175,-1.77781854147992,-2.52138829627406,0.923651758928725,-0.328210234793224,-0.231218002169813,5.69467830657959,29.7200012207031,1,0.614421114325523,0.0391093920916319,0.958501160144806,0.961318075656891,0.834338665008545,0.551249206066132,0.52992856502533,4.08758497238159
41_09,0.68687823864067,-2.83350706607008,-3.53100368088945,0.908662887288871,-0.454859749215548,-0.46075439453125,5.96664786338806,37.8099975585938,1,0.600692287087441,0.0305627067573369,1.49890112876892,0.966426432132721,0.637266993522644,-0.77064311504364,-0.744769871234894,5.18088102340698
41_10,0.688800714380485,-2.69348247590614,-3.5538498347356,0.910132902994521,-0.448848536757172,-0.428365854116587,6.15461266040802,37.4199981689453,0.997500002384186,0.595437273383141,0.0327262915670872,0.992059946060181,2.83932995796204,0.466269493103027,0.884642660617828,2.51179242134094,3.00385332107544
41_11,0.712382551843855,-2.44183493492254,-3.15254214242791,0.89900338006142,-0.599549590564165,-0.649087759164663,6.74102973937988,38,1,0.600387707352638,0.028721896931529,1.34424376487732,0.725040555000305,-0.34571847319603,0.938338041305542,0.680333495140076,5.06284236907959
41_12,0.790240083782082,-1.41695788574221,-2.16192675781252,0.938297780057053,-0.0669411343053278,0.0337520322439979,3.81222891807556,27.6199951171875,0.997500002384186,0.519947156310082,0.0303503931500018,1.94617450237274,1.92204833030701,-0.160176083445549,-0.987088441848755,-1.89723169803619,4.78073787689209
41_15,0.928906590759387,-0.737941492299587,-0.940926757812523,0.950017100090225,0.131866781905775,0.275252947063424,3.3713470697403,28.2099990844727,1,0.566145271062851,0.0408214777708054,1.37466955184937,3.08266401290894,0.807730734348297,-0.589551508426666,-1.81738936901093,5.11867332458496
